feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
6256883,2850500678,97145527,3,Cum harum quisquam rem nobis fuga quaerat.,Product Quality,Neutral,2024-03-29 02:45:15
7054828,7171106490,45835229,5,Quam nulla eligendi rerum sit. Architecto soluta maxime ut.,Delivery,Positive,2023-08-17 16:08:27
9923412,3829771237,25578646,5,Numquam voluptate fugit illo nisi inventore incidunt earum. Cum veniam eos.,App Experience,Positive,2023-11-24 00:19:22
1122348,459643984,68711385,5,Sequi commodi omnis molestiae libero. Sunt illo nemo officiis corrupti.,Customer Service,Positive,2025-07-17 18:35:23
7709233,1316777473,52002897,2,"Nostrum excepturi odio soluta id.
Facilis nobis consectetur in. Architecto ut similique velit.",Customer Service,Negative,2023-12-16 14:37:48
6342798,7511736375,68604506,3,Corrupti excepturi asperiores odio modi veritatis aperiam nihil. Eaque ut voluptate.,Product Quality,Neutral,2023-06-12 15:57:03
9880814,9078729924,6283049,5,Exercitationem nihil dicta sunt fugiat. Rem blanditiis voluptas reprehenderit.,Customer Service,Positive,2024-10-22 21:38:40
9487139,3818630716,33845548,5,Et hic qui odio debitis.,Customer Service,Positive,2024-11-24 02:27:00
5026321,8585415558,19595742,4,Iure odit explicabo corrupti. Iure iure iure quis suscipit nam ipsam.,Delivery,Positive,2024-07-02 02:47:42
1801683,3164636338,62866964,4,Adipisci autem vitae. Quasi vel ullam. Tempora iste aut deserunt ullam suscipit nam.,Product Quality,Positive,2025-06-26 08:47:05
6254418,1069569617,89748638,1,Modi asperiores est exercitationem. Animi ex itaque blanditiis illum quibusdam.,Product Quality,Negative,2023-12-29 10:34:35
1157146,8830652374,46464717,5,Ipsam consectetur quas asperiores ex.,Delivery,Positive,2025-05-25 06:17:31
5443531,192325016,13680237,5,Explicabo optio rem perspiciatis totam. Alias cum dolorem omnis magni blanditiis a.,Customer Service,Positive,2024-08-09 17:50:41
1944750,6018926249,87574868,3,Dicta asperiores unde fugit. Quo error unde consectetur.,App Experience,Neutral,2025-11-21 21:33:15
1014842,758171239,86681288,4,Vero sunt excepturi fugit totam enim. Quidem odio quasi. Iusto culpa aspernatur.,App Experience,Positive,2025-03-11 22:33:29
89228,9687670406,69884896,3,"Officiis illum eius alias sequi.
Iusto ab cum.",Delivery,Neutral,2023-08-20 04:18:15
541788,3836331811,51219108,4,Provident voluptatibus quo dolore. Quos incidunt beatae debitis ex.,Customer Service,Positive,2025-05-01 16:50:04
3460314,2304449471,64970603,4,Et repudiandae delectus a voluptas nam. Eos neque iusto sint. Vero blanditiis nisi.,Customer Service,Neutral,2024-10-06 13:08:31
3736022,3049938096,64838864,4,Veritatis facere ipsum provident consequatur.,Customer Service,Positive,2025-05-14 13:34:05
1894797,969452191,85646829,5,Dolorum fugiat cumque similique porro ducimus. Placeat quam natus laboriosam adipisci.,Delivery,Positive,2024-09-16 07:45:00
6766418,4088350993,27277351,4,A consequuntur modi vero itaque repellat recusandae. Sequi aperiam nostrum.,Product Quality,Positive,2023-05-11 19:27:09
159100,2779255026,33425377,3,Earum vel ducimus esse. Necessitatibus exercitationem ipsam vel dolore nemo.,Delivery,Neutral,2023-06-15 05:37:13
8535442,3144468812,40010392,4,Sunt quis velit voluptate dolore neque eaque accusantium.,Customer Service,Positive,2023-10-19 15:06:51
7830323,4914116817,53790393,5,Iste molestias tempore voluptatum non. Quasi deleniti aliquid.,Customer Service,Positive,2025-02-09 18:50:36
7776348,7247346786,55198053,4,Exercitationem error laboriosam consequatur doloremque quam. Aspernatur laborum accusantium.,Product Quality,Neutral,2024-07-25 01:02:43
2190738,5025845984,15121021,5,Officia aspernatur quasi et maxime deserunt non. Illum itaque eligendi commodi consequuntur.,App Experience,Positive,2023-03-12 00:01:08
2443146,494185217,85493600,5,Dolorem ut cum. Voluptatum dolorum beatae id dolore quos.,Customer Service,Positive,2024-08-13 19:48:40
1940021,3209159169,72425987,4,Assumenda provident neque. Et cupiditate nulla perferendis nihil consequuntur sint.,Customer Service,Positive,2023-02-23 13:28:59
4152953,9365778969,2671648,4,Saepe aliquid sed nam in mollitia. Accusamus ipsam placeat magnam magnam dolor.,Customer Service,Positive,2025-10-20 22:45:30
7130962,9709173476,50902428,4,Facilis facilis dolorem impedit iusto nulla optio. Blanditiis consectetur consequatur iure.,Product Quality,Positive,2025-05-15 05:41:23
3122121,1736691823,13290305,1,Et impedit at quo mollitia dignissimos doloremque. Eveniet quibusdam ipsa.,Product Quality,Negative,2024-07-20 03:12:36
1583253,764690702,3120362,5,Ducimus laborum sunt non eos hic. Dolore perspiciatis architecto quibusdam.,Customer Service,Positive,2025-03-21 21:10:26
7662517,7593471025,4686595,3,Dolor explicabo sunt in esse enim. Qui nostrum adipisci inventore. Autem asperiores a dolorum.,Customer Service,Neutral,2024-07-17 12:59:19
9971911,9853270521,17468859,4,Maiores minima dolorum est. Vel rem quisquam nam corrupti.,Product Quality,Positive,2023-02-13 23:15:15
4609633,4288529188,34198966,5,Optio nam autem laboriosam cumque consequatur. Minima a accusantium vel earum.,Delivery,Positive,2024-08-23 23:10:34
1785374,3154879255,98054051,5,Ipsa enim sunt cumque dolore aspernatur. Nisi dolor sapiente vero soluta aliquam.,Delivery,Positive,2023-07-10 22:44:22
2271365,8120837867,30622634,4,Totam vel maxime aut. Libero corporis suscipit.,App Experience,Positive,2023-08-27 12:59:05
1679207,5408470302,22738935,4,Tempora perspiciatis tenetur dolorem cum quam. Autem fugit ab harum praesentium.,Product Quality,Positive,2024-06-27 02:04:28
5059726,6346754924,35066676,5,Expedita et inventore soluta nesciunt reiciendis. Ducimus impedit commodi magnam.,Customer Service,Positive,2025-01-02 01:21:29
1554310,5731804243,31521572,2,At harum minima totam dolorem. Saepe ipsam animi reiciendis occaecati voluptatem.,Product Quality,Negative,2023-10-25 21:41:18
8851312,7619720404,63548908,5,Eos neque possimus neque. Eaque placeat sapiente. Officiis ratione esse delectus nesciunt.,Customer Service,Positive,2024-07-19 15:38:44
7134409,1308703406,91338431,5,Nihil voluptatibus aliquid beatae dignissimos.,App Experience,Positive,2025-03-31 05:28:46
7138215,864738378,28588211,5,Atque ullam quas tenetur tempore. Ducimus quos iusto soluta voluptas nisi.,Customer Service,Positive,2024-01-10 08:21:09
3737552,9783493265,43236215,5,Dolor culpa voluptatum quasi eligendi totam maiores. Labore sit quaerat explicabo culpa eos.,Delivery,Positive,2025-09-29 21:26:23
3556437,2802500783,29420077,5,Eius porro quos cum et impedit aliquid. Iure perspiciatis quos id nesciunt ipsam numquam.,Customer Service,Positive,2024-06-09 03:04:12
9932806,8625144136,40496044,1,Reiciendis aut hic aliquid. In amet consequatur nobis architecto voluptatem.,Product Quality,Negative,2025-12-20 05:43:10
2779703,1152931405,3709894,5,Sed quos inventore aperiam. Doloribus explicabo quo.,Customer Service,Positive,2025-12-13 14:47:44
2726048,7480454899,42430271,3,Vitae voluptas beatae quos. Nobis asperiores sed quod.,Product Quality,Neutral,2024-09-30 12:19:17
1193166,4395520324,67226473,4,Doloremque sapiente ullam sed. Itaque fuga velit fuga temporibus minus.,Product Quality,Positive,2023-03-10 12:52:52
5919827,2754558974,68390491,4,Aliquid doloribus nesciunt facere illo ex. Praesentium voluptatum consectetur quisquam.,App Experience,Positive,2024-09-22 00:52:06
8539810,4650318593,2493076,5,Earum eum nesciunt ea vitae rem esse. Enim eum rem sapiente.,Product Quality,Positive,2023-12-15 12:30:05
8320798,5572716475,23215782,1,Nam ab rem nisi veniam. Qui necessitatibus aliquid explicabo nam. Doloribus quam excepturi soluta.,Delivery,Negative,2024-01-30 10:31:25
5484863,2734329324,84803951,4,Magnam placeat mollitia ab nemo. Hic ipsam earum quam asperiores repudiandae similique.,App Experience,Positive,2023-05-25 20:53:35
3826880,442836181,14788468,5,"Repudiandae mollitia autem.
Quod exercitationem dignissimos.",Delivery,Positive,2025-07-31 23:24:51
9010150,7312766372,78110713,4,Voluptatibus veniam velit nisi aut eum. Saepe aspernatur suscipit repellendus accusantium.,Customer Service,Positive,2023-01-20 10:49:09
