campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
512075,New User Discount,2023-01-01,Premium,Social Media,900,250,51,52.47,424.37,1.59
460560,Weekend Special,2023-01-01,Inactive,Social Media,859,180,26,76.02,454.5,1.68
548078,Festival Offer,2023-01-01,Inactive,SMS,625,262,66,68.48,123.47,3.23
626576,Flash Sale,2023-01-01,New Users,App,521,145,89,85.24,104.53,3.61
341960,Membership Drive,2023-01-01,All,App,578,74,56,91.02,413.88,2.08
608514,Category Promotion,2023-01-01,New Users,Social Media,484,254,99,54.11,343.43,2.99
535017,App Push Notification,2023-01-01,New Users,App,539,284,100,67.84,486.38,3.09
758993,Email Campaign,2023-01-01,New Users,Social Media,738,58,29,84.6,377.26,2.67
320433,Referral Program,2023-01-01,All,SMS,645,171,79,92.65,290.14,2.49
368494,New User Discount,2023-01-02,New Users,SMS,887,81,94,51.5,381.5,2.08
648604,Weekend Special,2023-01-02,All,Social Media,521,85,80,87.54,367.1,3.48
704171,Festival Offer,2023-01-02,Premium,App,934,226,58,79.87,302.06,2.62
744431,Flash Sale,2023-01-02,Premium,Social Media,687,134,63,63.28,172.83,3.85
974213,Membership Drive,2023-01-02,Inactive,Email,748,237,91,81.22,353.29,2.47
683606,Category Promotion,2023-01-02,Premium,Social Media,973,237,86,57.23,224.74,1.87
881025,App Push Notification,2023-01-02,Premium,SMS,813,154,95,96.77,318.53,1.58
459292,Email Campaign,2023-01-02,All,Social Media,953,160,100,67.95,362.86,3.76
21674,Referral Program,2023-01-02,Inactive,App,1000,225,92,92.85,113.01,3.42
888875,New User Discount,2023-01-03,Inactive,Email,491,125,52,54.54,225.15,1.69
173389,Weekend Special,2023-01-03,Inactive,SMS,482,253,33,57.05,485.72,2.86
833506,Festival Offer,2023-01-03,Inactive,SMS,722,70,61,58.35,490.28,2.19
939848,Flash Sale,2023-01-03,All,Email,591,162,90,75.93,308.03,3.95
516754,Membership Drive,2023-01-03,Premium,App,726,123,19,67.64,454.29,1.67
716002,Category Promotion,2023-01-03,All,Social Media,824,76,31,55.52,186.64,3.1
745415,App Push Notification,2023-01-03,Inactive,Email,973,114,23,90.62,199.43,2.99
362722,Email Campaign,2023-01-03,Premium,Social Media,664,111,100,71.52,320.42,2.31
272388,Referral Program,2023-01-03,Premium,Social Media,541,161,21,80.27,345.19,2.8
323908,New User Discount,2023-01-04,Premium,App,863,298,53,93.99,418.23,3.53
551553,Weekend Special,2023-01-04,New Users,App,444,109,21,55.58,386.2,3.75
675098,Festival Offer,2023-01-04,Inactive,App,639,165,87,68.96,430.87,2.65
854411,Flash Sale,2023-01-04,Inactive,App,573,266,76,97.91,357.28,3.61
200951,Membership Drive,2023-01-04,Inactive,App,614,133,37,73.03,110.17,3.67
804200,Category Promotion,2023-01-04,All,Social Media,833,52,11,69.09,229.31,3.52
138901,App Push Notification,2023-01-04,New Users,Email,778,209,24,85.95,485.69,2.96
422013,Email Campaign,2023-01-04,Inactive,Email,529,150,50,66.93,100.56,2.15
349433,Referral Program,2023-01-04,Inactive,Social Media,660,123,92,85.9,274.53,1.68
186782,New User Discount,2023-01-05,New Users,SMS,546,229,93,75.66,203.63,2.48
844047,Weekend Special,2023-01-05,New Users,Email,750,105,18,91.86,375.42,3.72
597590,Festival Offer,2023-01-05,Premium,App,402,65,15,59.25,245.76,3.8
737744,Flash Sale,2023-01-05,Premium,SMS,941,251,54,71.59,207.95,2.03
35079,Membership Drive,2023-01-05,All,App,819,192,68,79.43,467.55,2.81
536729,Category Promotion,2023-01-05,All,SMS,572,115,33,90.33,135.53,2.13
98083,App Push Notification,2023-01-05,Premium,Email,899,162,75,75.38,311.12,3.38
237744,Email Campaign,2023-01-05,All,Email,715,269,37,85.91,199.42,2.41
341970,Referral Program,2023-01-05,Premium,Social Media,597,228,25,91.57,351.45,3.86
355645,New User Discount,2023-01-06,New Users,SMS,681,252,96,62.8,465.9,3.73
975583,Weekend Special,2023-01-06,Inactive,Email,452,207,88,67.64,124.03,2.49
581515,Festival Offer,2023-01-06,Premium,Social Media,431,269,93,63.71,258.18,3.62
374203,Flash Sale,2023-01-06,Premium,App,890,276,58,71.88,244.39,2.34
272590,Membership Drive,2023-01-06,All,App,562,244,21,99.9,211.57,2.34
423653,Category Promotion,2023-01-06,Premium,SMS,978,258,89,93.97,319.74,2.15
352132,App Push Notification,2023-01-06,Inactive,App,420,157,41,82.15,379.34,2.3
258429,Email Campaign,2023-01-06,All,App,686,183,43,94.53,410.22,3.43
360320,Referral Program,2023-01-06,All,SMS,991,272,52,99.92,291.26,1.68
787558,New User Discount,2023-01-07,All,SMS,746,75,40,97.96,273.99,3.03
474008,Weekend Special,2023-01-07,New Users,Social Media,981,145,93,90.23,343.15,1.68
128377,Festival Offer,2023-01-07,Inactive,App,752,119,38,94.24,480.55,2.64
731406,Flash Sale,2023-01-07,Premium,Email,491,173,60,85.7,174.67,2.24
527952,Membership Drive,2023-01-07,All,Social Media,742,70,48,90.61,183.99,3.69
311279,Category Promotion,2023-01-07,All,Email,514,117,100,80.97,294.78,3.27
985608,App Push Notification,2023-01-07,New Users,Social Media,534,238,29,98.76,341.18,2.79
264495,Email Campaign,2023-01-07,All,Social Media,918,144,87,51.17,315.51,1.7
475112,Referral Program,2023-01-07,Premium,App,482,72,56,95.66,354.26,2.32
393427,New User Discount,2023-01-08,New Users,App,843,228,20,82.63,107.9,2.59
825595,Weekend Special,2023-01-08,Inactive,App,951,155,14,51.8,238.38,2.7
180193,Festival Offer,2023-01-08,New Users,App,609,60,56,54.54,185.43,2.84
955081,Flash Sale,2023-01-08,All,Email,994,66,57,88.76,313.55,2.99
838907,Membership Drive,2023-01-08,Inactive,Social Media,868,76,44,91.61,179.73,3.45
2431,Category Promotion,2023-01-08,Premium,SMS,917,196,80,64.25,114.33,3.86
663078,App Push Notification,2023-01-08,Premium,Social Media,628,139,64,96.89,497.86,3.84
683890,Email Campaign,2023-01-08,New Users,App,878,163,45,88.01,358.53,2.44
620302,Referral Program,2023-01-08,All,App,720,52,64,88.62,347.0,3.22
246671,New User Discount,2023-01-09,Premium,App,507,233,34,97.55,415.99,3.44
235401,Weekend Special,2023-01-09,Inactive,Email,778,202,46,65.86,254.07,2.34
686452,Festival Offer,2023-01-09,Inactive,SMS,433,164,32,59.48,169.05,2.12
147510,Flash Sale,2023-01-09,All,App,701,256,41,78.3,446.1,1.6
736856,Membership Drive,2023-01-09,Premium,Social Media,786,228,94,93.55,471.29,2.79
853811,Category Promotion,2023-01-09,New Users,SMS,645,141,80,78.28,267.95,3.61
273999,App Push Notification,2023-01-09,Inactive,SMS,779,102,83,86.05,102.79,3.98
656428,Email Campaign,2023-01-09,Premium,Email,705,297,100,76.25,181.4,1.7
641464,Referral Program,2023-01-09,New Users,App,430,197,84,53.58,165.64,2.96
119720,New User Discount,2023-01-10,New Users,Social Media,891,274,60,57.34,337.53,2.05
771031,Weekend Special,2023-01-10,Premium,Social Media,816,212,83,58.8,174.71,1.54
388416,Festival Offer,2023-01-10,New Users,Email,633,266,69,62.87,101.47,1.59
106866,Flash Sale,2023-01-10,Premium,SMS,763,55,98,88.55,320.16,3.48
956829,Membership Drive,2023-01-10,All,SMS,790,160,35,80.65,318.63,2.47
367704,Category Promotion,2023-01-10,Inactive,App,575,54,73,67.78,243.94,3.49
975948,App Push Notification,2023-01-10,Premium,SMS,763,240,76,66.9,485.37,3.07
112829,Email Campaign,2023-01-10,All,Email,670,57,71,69.23,495.88,3.35
72564,Referral Program,2023-01-10,Premium,Email,594,97,26,99.17,429.86,3.15
322505,New User Discount,2023-01-11,All,Social Media,781,247,25,86.85,303.48,1.84
955136,Weekend Special,2023-01-11,New Users,SMS,480,72,88,63.33,110.82,3.34
107984,Festival Offer,2023-01-11,Inactive,Social Media,442,144,42,94.55,454.3,2.28
518415,Flash Sale,2023-01-11,New Users,App,806,255,44,57.48,271.71,1.81
826619,Membership Drive,2023-01-11,All,Email,923,75,45,87.99,177.34,3.07
768518,Category Promotion,2023-01-11,Premium,Email,495,76,15,97.43,334.72,2.29
613056,App Push Notification,2023-01-11,New Users,Social Media,575,88,49,72.22,175.93,1.92
448144,Email Campaign,2023-01-11,Premium,App,998,90,98,75.79,347.86,2.86
691993,Referral Program,2023-01-11,All,Email,426,184,38,87.4,463.6,2.68
371098,New User Discount,2023-01-12,New Users,SMS,602,228,37,64.85,455.51,2.32
12921,Weekend Special,2023-01-12,All,SMS,411,223,53,77.01,162.9,1.69
894610,Festival Offer,2023-01-12,Premium,Social Media,444,205,29,91.79,367.91,2.9
797353,Flash Sale,2023-01-12,All,SMS,651,86,58,60.12,463.15,3.21
2527,Membership Drive,2023-01-12,Inactive,Email,905,244,34,74.77,130.61,2.8
127005,Category Promotion,2023-01-12,All,Email,682,292,13,96.2,495.22,2.17
947589,App Push Notification,2023-01-12,New Users,Social Media,998,95,67,71.42,323.92,2.72
441014,Email Campaign,2023-01-12,New Users,App,539,153,73,84.98,103.71,1.69
71750,Referral Program,2023-01-12,All,SMS,559,106,20,90.58,235.14,2.78
89093,New User Discount,2023-01-13,New Users,App,995,194,53,50.05,256.06,2.97
86939,Weekend Special,2023-01-13,Premium,Email,727,271,57,60.22,302.02,2.17
185428,Festival Offer,2023-01-13,New Users,Email,477,52,18,79.16,177.11,3.63
201860,Flash Sale,2023-01-13,Premium,SMS,524,268,24,57.79,216.81,2.28
228662,Membership Drive,2023-01-13,Premium,Social Media,670,215,22,63.27,499.9,2.33
649887,Category Promotion,2023-01-13,All,SMS,460,204,54,97.21,224.8,1.62
614011,App Push Notification,2023-01-13,All,Email,944,277,31,91.06,426.54,3.33
347537,Email Campaign,2023-01-13,New Users,Social Media,944,90,49,58.74,360.89,3.63
329103,Referral Program,2023-01-13,Inactive,Social Media,737,51,40,89.5,369.97,3.53
258531,New User Discount,2023-01-14,All,App,928,114,43,52.05,114.01,1.79
19452,Weekend Special,2023-01-14,Inactive,Email,560,134,38,61.28,183.84,2.12
672302,Festival Offer,2023-01-14,New Users,Social Media,495,287,82,83.68,426.2,2.27
726530,Flash Sale,2023-01-14,Premium,Social Media,537,138,63,93.69,459.49,1.91
728217,Membership Drive,2023-01-14,New Users,Email,686,93,56,68.7,184.73,3.97
964124,Category Promotion,2023-01-14,Inactive,Email,791,117,35,76.39,179.54,3.96
784253,App Push Notification,2023-01-14,Inactive,Email,911,137,86,74.54,488.03,1.73
970408,Email Campaign,2023-01-14,All,SMS,521,65,58,70.65,213.4,2.85
184106,Referral Program,2023-01-14,New Users,Email,700,104,15,78.91,218.03,3.9
