order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id
2850500678,97145527,2024-03-29 01:27:15,2024-03-29 01:46:15,2024-03-29 01:59:15,Slightly Delayed,4817.54,Cash,32423,6208603997
7171106490,45835229,2023-08-17 15:46:27,2023-08-17 15:59:27,2023-08-17 15:57:27,On Time,922.44,Cash,2312,9321628569
3829771237,25578646,2023-11-23 23:46:22,2023-11-24 00:05:22,2023-11-24 00:08:22,On Time,4154.91,Cash,87568,1297200837
459643984,68711385,2025-07-17 17:33:23,2025-07-17 17:51:23,2025-07-17 17:52:23,On Time,2682.11,Wallet,96765,7354302450
1316777473,52002897,2023-12-16 13:15:48,2023-12-16 13:34:48,2023-12-16 14:01:48,Significantly Delayed,1861.67,Cash,43840,309610785
7511736375,68604506,2023-06-12 14:40:03,2023-06-12 14:54:03,2023-06-12 15:03:03,Slightly Delayed,3615.89,UPI,53285,1783577265
9078729924,6283049,2024-10-22 20:51:40,2024-10-22 21:06:40,2024-10-22 21:01:40,On Time,3170.83,Cash,34990,8955389649
3818630716,33845548,2024-11-24 01:43:00,2024-11-24 01:59:00,2024-11-24 01:58:00,On Time,3949.11,Wallet,28841,6917830210
8585415558,19595742,2024-07-02 01:37:42,2024-07-02 01:54:42,2024-07-02 01:59:42,On Time,2852.03,Cash,51303,9905144987
3164636338,62866964,2025-06-26 07:47:05,2025-06-26 08:04:05,2025-06-26 07:59:05,On Time,2514.69,Cash,95460,3801034375
1069569617,89748638,2023-12-29 08:59:35,2023-12-29 09:15:35,2023-12-29 09:34:35,Significantly Delayed,3043.32,Cash,29913,5592231657
8830652374,46464717,2025-05-25 05:32:31,2025-05-25 05:43:31,2025-05-25 05:48:31,On Time,1266.52,UPI,35179,1368790551
192325016,13680237,2024-08-09 17:14:41,2024-08-09 17:34:41,2024-08-09 17:29:41,On Time,3396.11,Card,44752,541565961
6018926249,87574868,2025-11-21 20:40:15,2025-11-21 20:52:15,2025-11-21 21:06:15,Slightly Delayed,2808.69,UPI,45760,7901803708
758171239,86681288,2025-03-11 21:32:29,2025-03-11 21:46:29,2025-03-11 21:44:29,On Time,4416.76,Wallet,33040,6412711135
9687670406,69884896,2023-08-20 02:58:15,2023-08-20 03:16:15,2023-08-20 03:22:15,Slightly Delayed,1652.04,Wallet,76792,9510121423
3836331811,51219108,2025-05-01 15:59:04,2025-05-01 16:16:04,2025-05-01 16:14:04,On Time,543.71,Card,85361,2163778244
2304449471,64970603,2024-10-06 12:29:31,2024-10-06 12:45:31,2024-10-06 12:52:31,Slightly Delayed,835.7,Wallet,80216,2551593371
3049938096,64838864,2025-05-14 12:45:05,2025-05-14 13:05:05,2025-05-14 13:03:05,On Time,1188.13,Card,53645,891408575
969452191,85646829,2024-09-16 06:40:00,2024-09-16 06:59:00,2024-09-16 06:59:00,On Time,828.79,Wallet,93614,1855914780
4088350993,27277351,2023-05-11 18:50:09,2023-05-11 19:06:09,2023-05-11 19:08:09,On Time,2260.79,Wallet,53085,7810814002
2779255026,33425377,2023-06-15 04:36:13,2023-06-15 04:54:13,2023-06-15 05:01:13,Slightly Delayed,1646.51,Card,92429,9984479521
