product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
201550,dolore ea,Fruits & Vegetables,Nazareth-Magar,29.85,39.8,25.0,3,16,91
521107,consequatur voluptatibus,Fruits & Vegetables,"Iyengar, Issac and Chaudhary",441.13,588.17,25.0,3,17,87
914173,corrupti atque,Fruits & Vegetables,Halder-Patla,33.84,45.12,25.0,3,27,100
665753,in dignissimos,Fruits & Vegetables,"Chopra, Johal and Garde",447.07,596.09,25.0,3,28,63
628414,dolorem corrupti,Fruits & Vegetables,Vala Group,107.52,143.36,25.0,3,23,100
761592,iure dicta,Fruits & Vegetables,Kanda-Dhillon,230.69,307.59,25.0,3,21,84
972540,vero cum,Fruits & Vegetables,Din-Roy,733.9,978.53,25.0,3,14,92
846682,laudantium a,Fruits & Vegetables,Karan-Balan,611.22,814.96,25.0,3,23,59
913328,quasi corrupti,Fruits & Vegetables,Dua Inc,443.17,590.89,25.0,3,29,62
84626,aperiam quia,Fruits & Vegetables,Saran and Sons,177.21,236.28,25.0,3,19,98
517688,maiores esse,Fruits & Vegetables,Lata-Ratta,915.2,1220.27,25.0,3,17,99
597126,itaque quidem,Fruits & Vegetables,Om Ltd,792.59,1056.79,25.0,3,24,66
713026,quibusdam esse,Fruits & Vegetables,Gera-Sandhu,860.08,1146.77,25.0,3,17,70
330274,fugiat magnam,Fruits & Vegetables,Oommen-Wali,705.02,940.03,25.0,3,12,89
10203,iure cum,Fruits & Vegetables,Mander and Sons,351.04,468.05,25.0,3,25,62
548246,vel rerum,Fruits & Vegetables,Arya-Roy,105.85,141.13,25.0,3,15,80
659309,ducimus reiciendis,Fruits & Vegetables,Guha-Dugal,917.04,1222.72,25.0,3,10,86
421236,ut eveniet,Fruits & Vegetables,Grewal and Sons,496.54,662.05,25.0,3,15,56
965588,placeat provident,Fruits & Vegetables,Lanka LLC,689.04,918.72,25.0,3,29,86
258210,ut alias,Fruits & Vegetables,Chahal LLC,556.48,741.97,25.0,3,18,56
693701,eveniet laborum,Fruits & Vegetables,Ganesan LLC,698.36,931.15,25.0,3,16,81
683482,soluta accusamus,Fruits & Vegetables,Kohli Group,439.16,585.55,25.0,3,14,77
749250,doloribus et,Fruits & Vegetables,"Jha, Sankar and Sarma",888.22,1184.29,25.0,3,28,67
175326,necessitatibus rem,Fruits & Vegetables,Vig-Choudhury,89.36,119.15,25.0,3,30,79
874727,sunt minus,Dairy & Breakfast,Balay Inc,147.13,183.91,20.0,7,20,77
358455,magni tempora,Dairy & Breakfast,"Sarna, Rajagopal and Sundaram",723.74,904.67,20.0,7,14,93
602858,incidunt aliquid,Dairy & Breakfast,Mutti-Peri,809.79,1012.24,20.0,7,12,74
276995,sit laudantium,Dairy & Breakfast,"Sura, Chakrabarti and Parikh",712.39,890.49,20.0,7,10,94
367746,ut cum,Dairy & Breakfast,Iyengar Group,139.75,174.69,20.0,7,19,85
38911,non odio,Dairy & Breakfast,Pant Ltd,855.35,1069.19,20.0,7,13,80
65579,aliquam expedita,Dairy & Breakfast,Bhardwaj and Sons,346.73,433.41,20.0,7,17,71
172520,adipisci facere,Dairy & Breakfast,"Iyer, Mishra and Ramachandran",513.55,641.94,20.0,7,18,56
293970,ex eveniet,Dairy & Breakfast,Gokhale Ltd,568.33,710.41,20.0,7,15,56
926526,libero suscipit,Dairy & Breakfast,"Bala, Bedi and Patel",277.27,346.59,20.0,7,29,69
869164,amet tempore,Dairy & Breakfast,Aggarwal-Verma,477.36,596.7,20.0,7,30,65
480116,praesentium totam,Dairy & Breakfast,"Agarwal, Rana and Raman",112.86,141.07,20.0,7,13,69
451996,aperiam ipsum,Dairy & Breakfast,Sankaran Inc,192.4,240.5,20.0,7,30,94
999606,esse dolorum,Dairy & Breakfast,Goel LLC,422.97,528.71,20.0,7,16,71
917554,optio minima,Dairy & Breakfast,Goel-Sundaram,67.15,83.94,20.0,7,20,62
115894,soluta facere,Dairy & Breakfast,Dar-Gola,840.82,1051.03,20.0,7,23,79
86738,tempore repudiandae,Snacks & Munchies,"Johal, Iyengar and Zachariah",532.47,819.18,35.0,90,17,80
189655,autem quaerat,Snacks & Munchies,Dugal-Jani,509.2,783.38,35.0,90,20,88
619322,facere nesciunt,Snacks & Munchies,"Deol, Mandal and Kumar",948.26,1458.86,35.0,90,16,86
628338,quis optio,Snacks & Munchies,Lall and Sons,144.41,222.17,35.0,90,15,73
251750,laudantium accusamus,Snacks & Munchies,Sankar Group,231.85,356.69,35.0,90,26,63
601722,repellendus tempora,Snacks & Munchies,Tak-Deol,21.32,32.8,35.0,90,21,74
138077,blanditiis sit,Snacks & Munchies,Thaker PLC,583.54,897.75,35.0,90,29,87
435978,harum aut,Snacks & Munchies,Lalla LLC,878.85,1352.08,35.0,90,25,74
170243,sunt beatae,Snacks & Munchies,"Bath, Mitra and Deshpande",371.51,571.55,35.0,90,23,80
636971,atque illo,Snacks & Munchies,Bali-Mistry,548.02,843.11,35.0,90,24,88
326719,fugit rem,Snacks & Munchies,"Bandi, Munshi and Som",428.87,659.8,35.0,90,28,51
112419,neque libero,Snacks & Munchies,Bahri-Khosla,770.76,1185.78,35.0,90,14,93
279942,neque aut,Snacks & Munchies,Parsa Group,890.62,1370.18,35.0,90,19,61
68583,laboriosam porro,Snacks & Munchies,Bora Inc,101.21,155.71,35.0,90,29,68
