order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
2850500678,32423,2024-03-29 01:46:15,2024-03-29 01:59:15,13.0,4.84,Slightly Delayed,Traffic
7171106490,2312,2023-08-17 15:59:27,2023-08-17 15:57:27,-2.0,1.49,On Time,
3829771237,87568,2023-11-24 00:05:22,2023-11-24 00:08:22,3.0,4.08,On Time,Traffic
459643984,96765,2025-07-17 17:51:23,2025-07-17 17:52:23,1.0,3.21,On Time,Traffic
1316777473,43840,2023-12-16 13:34:48,2023-12-16 14:01:48,27.0,0.95,Significantly Delayed,Traffic
7511736375,53285,2023-06-12 14:54:03,2023-06-12 15:03:03,9.0,2.46,Slightly Delayed,Traffic
9078729924,34990,2024-10-22 21:06:40,2024-10-22 21:01:40,-5.0,3.44,On Time,
3818630716,28841,2024-11-24 01:59:00,2024-11-24 01:58:00,-1.0,1.9,On Time,
8585415558,51303,2024-07-02 01:54:42,2024-07-02 01:59:42,5.0,1.27,On Time,Traffic
3164636338,95460,2025-06-26 08:04:05,2025-06-26 07:59:05,-5.0,3.78,On Time,
1069569617,29913,2023-12-29 09:15:35,2023-12-29 09:34:35,19.0,4.0,Significantly Delayed,Traffic
8830652374,35179,2025-05-25 05:43:31,2025-05-25 05:48:31,5.0,0.77,On Time,Traffic
192325016,44752,2024-08-09 17:34:41,2024-08-09 17:29:41,-5.0,0.86,On Time,
6018926249,45760,2025-11-21 20:52:15,2025-11-21 21:06:15,14.0,0.75,Slightly Delayed,Traffic
758171239,33040,2025-03-11 21:46:29,2025-03-11 21:44:29,-2.0,1.09,On Time,
9687670406,76792,2023-08-20 03:16:15,2023-08-20 03:22:15,6.0,0.72,Slightly Delayed,Traffic
3836331811,85361,2025-05-01 16:16:04,2025-05-01 16:14:04,-2.0,3.43,On Time,
2304449471,80216,2024-10-06 12:45:31,2024-10-06 12:52:31,7.0,1.13,Slightly Delayed,Traffic
3049938096,53645,2025-05-14 13:05:05,2025-05-14 13:03:05,-2.0,0.58,On Time,
969452191,93614,2024-09-16 06:59:00,2024-09-16 06:59:00,0.0,2.58,On Time,
4088350993,53085,2023-05-11 19:06:09,2023-05-11 19:08:09,2.0,3.49,On Time,Traffic
2779255026,92429,2023-06-15 04:54:13,2023-06-15 05:01:13,7.0,1.19,Slightly Delayed,Traffic
3144468812,12333,2023-10-19 14:30:51,2023-10-19 14:33:51,3.0,3.54,On Time,Traffic
4914116817,63216,2025-02-09 18:32:36,2025-02-09 18:31:36,-1.0,4.77,On Time,
7247346786,68764,2024-07-25 00:12:43,2024-07-25 00:22:43,10.0,4.29,Slightly Delayed,Traffic
5025845984,10083,2023-03-11 23:50:08,2023-03-11 23:50:08,0.0,2.75,On Time,
494185217,62015,2024-08-13 19:23:40,2024-08-13 19:28:40,5.0,4.11,On Time,Traffic
3209159169,6921,2023-02-23 12:31:59,2023-02-23 12:34:59,3.0,2.8,On Time,Traffic
9365778969,74304,2025-10-20 21:48:30,2025-10-20 21:45:30,-3.0,1.11,On Time,
9709173476,60966,2025-05-15 04:43:23,2025-05-15 04:46:23,3.0,1.8,On Time,Traffic
1736691823,77408,2024-07-20 01:57:36,2024-07-20 02:15:36,18.0,3.29,Significantly Delayed,Traffic
764690702,9265,2025-03-21 20:48:26,2025-03-21 20:45:26,-3.0,0.5,On Time,
7593471025,84898,2024-07-17 12:06:19,2024-07-17 12:21:19,15.0,2.68,Slightly Delayed,Traffic
9853270521,78321,2023-02-13 22:53:15,2023-02-13 22:52:15,-1.0,3.88,On Time,
4288529188,47827,2024-08-23 22:52:34,2024-08-23 22:51:34,-1.0,3.05,On Time,
3154879255,2877,2023-07-10 21:53:22,2023-07-10 21:57:22,4.0,1.57,On Time,Traffic
8120837867,32879,2023-08-27 12:07:05,2023-08-27 12:03:05,-4.0,0.59,On Time,
5408470302,18832,2024-06-27 01:38:28,2024-06-27 01:34:28,-4.0,0.59,On Time,
6346754924,43245,2025-01-02 00:40:29,2025-01-02 00:37:29,-3.0,2.28,On Time,
5731804243,90280,2023-10-25 20:36:18,2023-10-25 21:04:18,28.0,2.48,Significantly Delayed,Traffic
7619720404,93626,2024-07-19 15:21:44,2024-07-19 15:24:44,3.0,4.09,On Time,Traffic
1308703406,84000,2025-03-31 04:51:46,2025-03-31 04:55:46,4.0,3.84,On Time,Traffic
864738378,99140,2024-01-10 07:32:09,2024-01-10 07:31:09,-1.0,2.08,On Time,
9783493265,16060,2025-09-29 20:48:23,2025-09-29 20:46:23,-2.0,4.07,On Time,
2802500783,17057,2024-06-09 02:19:12,2024-06-09 02:14:12,-5.0,4.66,On Time,
8625144136,37791,2025-12-20 04:30:10,2025-12-20 04:52:10,22.0,1.37,Significantly Delayed,Traffic
1152931405,34746,2025-12-13 14:19:44,2025-12-13 14:19:44,0.0,3.15,On Time,
7480454899,54487,2024-09-30 11:58:17,2024-09-30 12:08:17,10.0,3.85,Slightly Delayed,Traffic
4395520324,3993,2023-03-10 12:30:52,2023-03-10 12:25:52,-5.0,1.62,On Time,
2754558974,97040,2024-09-22 00:17:06,2024-09-22 00:14:06,-3.0,1.63,On Time,
4650318593,18477,2023-12-15 11:53:05,2023-12-15 11:52:05,-1.0,4.8,On Time,
5572716475,74996,2024-01-30 09:26:25,2024-01-30 09:55:25,29.0,1.43,Significantly Delayed,Traffic
2734329324,41583,2023-05-25 20:18:35,2023-05-25 20:14:35,-4.0,2.51,On Time,
442836181,5354,2025-07-31 22:57:51,2025-07-31 23:01:51,4.0,4.14,On Time,Traffic
7312766372,59770,2023-01-20 10:02:09,2023-01-20 10:04:09,2.0,1.84,On Time,Traffic
7778959162,92223,2024-11-11 10:41:51,2024-11-11 10:56:51,15.0,2.47,Slightly Delayed,Traffic
4251165351,74687,2023-10-24 07:29:48,2023-10-24 07:31:48,2.0,2.25,On Time,Traffic
5848721367,34591,2023-12-03 06:04:49,2023-12-03 06:06:49,2.0,2.09,On Time,Traffic
6445426132,29449,2025-07-05 22:45:32,2025-07-05 22:49:32,4.0,1.31,On Time,Traffic
5530861970,35750,2025-07-19 15:30:28,2025-07-19 15:35:28,5.0,0.61,On Time,Traffic
5642505097,22019,2024-12-14 23:59:03,2024-12-15 00:11:03,12.0,2.72,Slightly Delayed,Traffic
