order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1145140104,55207,2025-03-01 00:26:39,2025-03-01 00:23:39,-3.0,4.76,On Time,
2989650510,79947,2025-09-06 14:55:26,2025-09-06 14:57:26,2.0,3.39,On Time,Traffic
1913908688,81619,2025-06-30 13:34:26,2025-06-30 13:30:26,-4.0,2.53,On Time,
8794477646,92575,2023-06-22 12:25:30,2023-06-22 12:20:30,-5.0,2.75,On Time,
941815060,78250,2025-08-07 08:25:30,2025-08-07 08:37:30,12.0,3.22,Slightly Delayed,Traffic
2653703827,8710,2024-02-22 12:58:02,2024-02-22 12:54:02,-4.0,3.1,On Time,
707341368,9902,2025-10-16 19:09:18,2025-10-16 19:07:18,-2.0,1.2,On Time,
5690280629,23262,2024-04-15 22:38:57,2024-04-15 22:37:57,-1.0,1.23,On Time,
960369059,95904,2024-09-11 00:58:41,2024-09-11 01:14:41,16.0,3.34,Significantly Delayed,Traffic
6733065977,86765,2024-12-08 06:59:40,2024-12-08 07:25:40,26.0,1.79,Significantly Delayed,Traffic
7876441338,69449,2023-04-18 01:31:52,2023-04-18 01:26:52,-5.0,1.48,On Time,
4943078774,81475,2025-08-16 18:00:43,2025-08-16 18:03:43,3.0,0.93,On Time,Traffic
4964733118,246,2025-07-23 15:16:24,2025-07-23 15:15:24,-1.0,3.6,On Time,
7247544198,55539,2025-09-20 23:01:38,2025-09-20 23:07:38,6.0,1.57,Slightly Delayed,Traffic
1120390395,86187,2023-10-29 05:44:43,2023-10-29 05:56:43,12.0,0.55,Slightly Delayed,Traffic
2868213974,32892,2023-09-08 08:01:40,2023-09-08 08:03:40,2.0,2.32,On Time,Traffic
3062318630,99072,2024-01-19 17:38:18,2024-01-19 18:00:18,22.0,0.94,Significantly Delayed,Traffic
3297195634,70769,2024-07-11 13:01:33,2024-07-11 12:59:33,-2.0,4.33,On Time,
7415237146,15665,2024-05-04 01:40:55,2024-05-04 01:42:55,2.0,2.74,On Time,Traffic
2681727775,8377,2024-09-25 02:14:40,2024-09-25 02:18:40,4.0,1.09,On Time,Traffic
9442837245,9987,2024-11-13 13:47:45,2024-11-13 14:00:45,13.0,1.54,Slightly Delayed,Traffic
6817923178,87019,2023-07-20 18:44:10,2023-07-20 18:45:10,1.0,1.31,On Time,Traffic
3022446066,87514,2024-01-07 00:48:52,2024-01-07 01:04:52,16.0,2.22,Significantly Delayed,Traffic
7925079,86335,2023-03-15 05:18:10,2023-03-15 05:32:10,14.0,3.64,Slightly Delayed,Traffic
6423418582,15794,2024-03-13 11:07:30,2024-03-13 11:03:30,-4.0,2.84,On Time,
7498883070,38692,2024-07-25 20:21:47,2024-07-25 20:33:47,12.0,4.31,Slightly Delayed,Traffic
5705493225,51590,2024-04-23 06:16:46,2024-04-23 06:20:46,4.0,3.84,On Time,Traffic
6909456787,47575,2025-04-25 20:47:21,2025-04-25 20:57:21,10.0,3.79,Slightly Delayed,Traffic
1536332277,6417,2023-05-17 13:12:15,2023-05-17 13:21:15,9.0,3.58,Slightly Delayed,Traffic
6229293100,19248,2023-05-10 11:14:59,2023-05-10 11:17:59,3.0,4.54,On Time,Traffic
5172205740,81833,2024-06-17 18:21:55,2024-06-17 18:19:55,-2.0,0.91,On Time,
8850076973,24087,2023-01-17 05:46:11,2023-01-17 05:46:11,0.0,2.3,On Time,
3866068750,22309,2023-11-24 17:42:04,2023-11-24 17:38:04,-4.0,4.44,On Time,
6594074513,85146,2025-01-27 06:41:11,2025-01-27 06:51:11,10.0,1.62,Slightly Delayed,Traffic
3006790555,62729,2025-11-20 12:07:19,2025-11-20 12:04:19,-3.0,1.88,On Time,
1976811727,56358,2023-05-11 01:20:17,2023-05-11 01:20:17,0.0,2.4,On Time,
3501543607,18312,2024-07-15 01:45:32,2024-07-15 01:45:32,0.0,4.12,On Time,
1225273910,82202,2025-03-06 08:11:09,2025-03-06 08:09:09,-2.0,4.08,On Time,
8537846172,49711,2025-09-21 10:58:16,2025-09-21 10:57:16,-1.0,1.18,On Time,
5218205740,23533,2023-04-25 09:21:26,2023-04-25 09:48:26,27.0,0.54,Significantly Delayed,Traffic
9867254821,24233,2023-10-17 02:31:39,2023-10-17 02:28:39,-3.0,1.05,On Time,
7868569545,72863,2024-07-15 10:32:34,2024-07-15 10:53:34,21.0,2.83,Significantly Delayed,Traffic
543311961,82562,2024-03-31 03:30:03,2024-03-31 03:41:03,11.0,0.71,Slightly Delayed,Traffic
3503682322,3395,2024-04-11 03:19:21,2024-04-11 03:20:21,1.0,4.87,On Time,Traffic
2746131298,15194,2023-09-24 00:58:00,2023-09-24 01:04:00,6.0,4.5,Slightly Delayed,Traffic
7964286345,65342,2025-07-23 22:38:27,2025-07-23 22:43:27,5.0,1.3,On Time,Traffic
4333616803,76732,2023-12-17 15:45:19,2023-12-17 15:53:19,8.0,3.63,Slightly Delayed,Traffic
1092128131,19232,2025-12-17 07:52:43,2025-12-17 07:55:43,3.0,2.35,On Time,Traffic
1695782626,14680,2024-12-17 20:27:00,2024-12-17 20:25:00,-2.0,3.98,On Time,
7868123082,74596,2023-11-29 07:48:57,2023-11-29 07:58:57,10.0,4.4,Slightly Delayed,Traffic
4021827585,78402,2024-10-26 10:07:40,2024-10-26 10:05:40,-2.0,2.36,On Time,
4766622196,20474,2024-05-27 11:17:11,2024-05-27 11:15:11,-2.0,2.72,On Time,
4496798582,41748,2023-06-03 11:59:28,2023-06-03 11:56:28,-3.0,1.0,On Time,
4442053479,17716,2023-08-01 05:56:44,2023-08-01 05:52:44,-4.0,3.13,On Time,
196837661,61641,2024-04-21 06:59:00,2024-04-21 07:00:00,1.0,4.29,On Time,Traffic
8775667452,62071,2023-03-15 16:08:18,2023-03-15 16:09:18,1.0,1.6,On Time,Traffic
2245860655,85568,2025-11-23 18:15:20,2025-11-23 18:10:20,-5.0,0.91,On Time,
209043853,10608,2024-05-27 21:20:34,2024-05-27 21:21:34,1.0,1.46,On Time,Traffic
4289863807,85187,2025-02-19 22:07:18,2025-02-19 22:22:18,15.0,2.16,Slightly Delayed,Traffic
2878377614,20777,2025-06-09 23:13:33,2025-06-09 23:21:33,8.0,3.56,Slightly Delayed,Traffic
4906424443,15527,2025-04-08 18:48:40,2025-04-08 18:53:40,5.0,3.97,On Time,Traffic
