campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
627817,New User Discount,2023-01-01,Inactive,Email,653,300,78,51.62,364.54,3.22
609638,Weekend Special,2023-01-01,Inactive,App,711,76,95,89.29,285.44,3.83
968415,Festival Offer,2023-01-01,Inactive,App,549,193,65,86.61,349.56,3.7
708219,Flash Sale,2023-01-01,New Users,Social Media,768,284,83,78.13,185.62,2.6
279208,Membership Drive,2023-01-01,New Users,App,573,296,19,60.4,398.87,1.97
894035,Category Promotion,2023-01-01,Inactive,App,704,109,58,94.43,244.91,3.75
616109,App Push Notification,2023-01-01,Premium,Social Media,493,86,93,92.36,136.2,2.51
149292,Email Campaign,2023-01-01,Premium,App,624,189,35,78.57,332.63,2.96
147964,Referral Program,2023-01-01,Premium,SMS,901,75,19,73.35,295.43,3.78
672767,New User Discount,2023-01-02,New Users,SMS,472,74,62,79.43,358.05,3.55
361244,Weekend Special,2023-01-02,Inactive,Social Media,839,300,59,92.09,363.19,1.95
470304,Festival Offer,2023-01-02,All,Social Media,823,169,94,57.56,113.96,3.63
862170,Flash Sale,2023-01-02,New Users,Social Media,695,238,29,79.12,144.61,1.8
980609,Membership Drive,2023-01-02,New Users,Social Media,571,182,88,71.9,497.87,3.82
649650,Category Promotion,2023-01-02,Premium,SMS,472,60,12,75.13,314.34,3.11
945268,App Push Notification,2023-01-02,Premium,Social Media,433,118,16,98.76,225.41,2.9
123792,Email Campaign,2023-01-02,Premium,SMS,510,71,25,90.83,234.59,3.88
776338,Referral Program,2023-01-02,All,Social Media,410,284,89,94.04,261.42,3.2
682901,New User Discount,2023-01-03,All,Email,875,93,17,57.84,380.25,3.39
776569,Weekend Special,2023-01-03,New Users,App,586,120,96,86.96,411.78,2.01
306292,Festival Offer,2023-01-03,Premium,Social Media,457,149,67,79.42,354.84,3.73
801404,Flash Sale,2023-01-03,All,Email,907,284,66,73.97,294.43,3.82
711778,Membership Drive,2023-01-03,All,Social Media,642,87,26,53.0,218.44,2.83
97628,Category Promotion,2023-01-03,Inactive,SMS,901,256,52,53.4,148.46,3.49
842285,App Push Notification,2023-01-03,New Users,Social Media,403,80,70,92.9,320.99,2.08
93749,Email Campaign,2023-01-03,All,SMS,799,234,79,51.42,409.98,2.61
332316,Referral Program,2023-01-03,Premium,SMS,691,146,53,60.86,386.19,1.71
510829,New User Discount,2023-01-04,All,Email,461,144,54,97.82,404.9,2.02
534243,Weekend Special,2023-01-04,New Users,Social Media,866,269,79,66.26,227.56,3.67
329856,Festival Offer,2023-01-04,Premium,App,981,50,87,70.32,424.21,2.48
324896,Flash Sale,2023-01-04,All,App,868,186,83,58.17,140.87,3.94
132627,Membership Drive,2023-01-04,All,Email,803,273,68,94.62,369.85,3.7
433536,Category Promotion,2023-01-04,Inactive,Social Media,744,180,91,90.12,227.94,3.57
791520,App Push Notification,2023-01-04,Inactive,App,638,236,73,80.53,359.72,1.8
